tld,has_rdap,ok_bases,bases,conformance,notes
aaa,True,1,https://rdap.nic.aaa/,"icann_rdap_response_profile_0,icann_rdap_technical_implementation_guide_0,rdap_level_0",https://rdap.nic.aaa/ OK 400
aarp,True,1,https://rdap.nic.aarp/,"icann_rdap_response_profile_0,icann_rdap_technical_implementation_guide_0,rdap_level_0",https://rdap.nic.aarp/ OK 400
abb,True,1,https://rdap.identitydigital.services/rdap/,"icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://rdap.identitydigital.services/rdap/help OK 200
abbott,True,1,https://rdap.identitydigital.services/rdap/,"icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://rdap.identitydigital.services/rdap/help OK 200
abbvie,True,1,https://rdap.nominet.uk/abbvie/,,https://rdap.nominet.uk/abbvie/ JSON 404 (no rdapConformance)
abc,True,1,https://rdap.identitydigital.services/rdap/,"icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://rdap.identitydigital.services/rdap/help OK 200
able,True,1,https://rdap.nic.able/,"icann_rdap_response_profile_0,icann_rdap_technical_implementation_guide_0,rdap_level_0",https://rdap.nic.able/ OK 400
abogado,True,1,https://rdap.nic.abogado/,"icann_rdap_response_profile_0,icann_rdap_technical_implementation_guide_0,rdap_level_0",https://rdap.nic.abogado/ OK 400
abudhabi,True,1,https://rdap.nic.abudhabi/,"icann_rdap_response_profile_0,icann_rdap_technical_implementation_guide_0,rdap_level_0",https://rdap.nic.abudhabi/ OK 400
ac,False,0,,,No RDAP base in bootstrap
academy,True,1,https://rdap.identitydigital.services/rdap/,"icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://rdap.identitydigital.services/rdap/help OK 200
accenture,True,1,https://rdap.identitydigital.services/rdap/,"icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://rdap.identitydigital.services/rdap/help OK 200
accountant,True,1,https://rdap.nic.accountant/,"icann_rdap_response_profile_0,icann_rdap_technical_implementation_guide_0,rdap_level_0",https://rdap.nic.accountant/ OK 400
accountants,True,1,https://rdap.identitydigital.services/rdap/,"icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://rdap.identitydigital.services/rdap/help OK 200
aco,True,1,https://rdap.nic.aco/,"icann_rdap_response_profile_0,icann_rdap_technical_implementation_guide_0,rdap_level_0",https://rdap.nic.aco/help OK 200
actor,True,1,https://rdap.identitydigital.services/rdap/,"icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://rdap.identitydigital.services/rdap/help OK 200
ad,True,1,https://rdap.nic.ad/,rdap_level_0,https://rdap.nic.ad/help OK 200
ads,True,1,https://pubapi.registry.google/rdap/,"icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://pubapi.registry.google/rdap/ OK 200
adult,True,1,https://rdap.nic.adult/,"icann_rdap_response_profile_0,icann_rdap_technical_implementation_guide_0,rdap_level_0",https://rdap.nic.adult/ OK 400
ae,False,0,,,No RDAP base in bootstrap
aeg,True,1,https://rdap.identitydigital.services/rdap/,"icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://rdap.identitydigital.services/rdap/help OK 200
aero,True,1,https://rdap.identitydigital.services/rdap/,"icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://rdap.identitydigital.services/rdap/help OK 200
aetna,True,1,https://rdap.nic.aetna/,"icann_rdap_response_profile_0,icann_rdap_technical_implementation_guide_0,rdap_level_0",https://rdap.nic.aetna/ OK 400
af,False,0,,,No RDAP base in bootstrap
afl,True,1,https://rdap.nic.afl/,"icann_rdap_response_profile_0,icann_rdap_technical_implementation_guide_0,rdap_level_0",https://rdap.nic.afl/ OK 400
africa,True,0,https://rdap.nic.africa/rdap/,,https://rdap.nic.africa/rdap/ no RDAP JSON detected
ag,False,0,,,No RDAP base in bootstrap
agakhan,True,1,https://rdap.identitydigital.services/rdap/,"icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://rdap.identitydigital.services/rdap/help OK 200
agency,True,1,https://rdap.identitydigital.services/rdap/,"icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://rdap.identitydigital.services/rdap/help OK 200
ai,True,1,https://rdap.identitydigital.services/rdap/,"icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://rdap.identitydigital.services/rdap/help OK 200
aig,True,1,https://rdap.nic.aig/,"icann_rdap_response_profile_0,icann_rdap_technical_implementation_guide_0,rdap_level_0",https://rdap.nic.aig/ OK 400
airbus,True,1,https://rdap.identitydigital.services/rdap/,"icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://rdap.identitydigital.services/rdap/help OK 200
airforce,True,1,https://rdap.identitydigital.services/rdap/,"icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://rdap.identitydigital.services/rdap/help OK 200
airtel,True,1,https://tld-rdap.verisign.com/airtel/v1/,"icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://tld-rdap.verisign.com/airtel/v1/help OK 200
akdn,True,1,https://rdap.identitydigital.services/rdap/,"icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://rdap.identitydigital.services/rdap/help OK 200
al,False,0,,,No RDAP base in bootstrap
alibaba,True,1,https://rdap.identitydigital.services/rdap/,"icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://rdap.identitydigital.services/rdap/help OK 200
alipay,True,1,https://rdap.identitydigital.services/rdap/,"icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://rdap.identitydigital.services/rdap/help OK 200
allfinanz,True,1,https://rdap.centralnic.com/allfinanz/,"icann_rdap_response_profile_0,icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_0,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://rdap.centralnic.com/allfinanz/ OK 200
allstate,True,1,https://rdap.identitydigital.services/rdap/,"icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://rdap.identitydigital.services/rdap/help OK 200
ally,True,1,https://rdap.nic.ally/,"icann_rdap_response_profile_0,icann_rdap_technical_implementation_guide_0,rdap_level_0",https://rdap.nic.ally/ OK 400
alsace,True,1,https://rdap.nic.alsace/,"icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://rdap.nic.alsace/ OK 200
alstom,True,1,https://rdap.nic.alstom/,"icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://rdap.nic.alstom/help OK 200
am,False,0,,,No RDAP base in bootstrap
amazon,True,1,https://rdap.nominet.uk/amazon/,,https://rdap.nominet.uk/amazon/ JSON 404 (no rdapConformance)
americanexpress,True,1,https://rdap.nic.americanexpress/,"icann_rdap_response_profile_0,icann_rdap_technical_implementation_guide_0,rdap_level_0",https://rdap.nic.americanexpress/ OK 400
americanfamily,True,1,https://rdap.nic.americanfamily/,"icann_rdap_response_profile_0,icann_rdap_technical_implementation_guide_0,rdap_level_0",https://rdap.nic.americanfamily/ OK 400
amex,True,1,https://rdap.nic.amex/,"icann_rdap_response_profile_0,icann_rdap_technical_implementation_guide_0,rdap_level_0",https://rdap.nic.amex/ OK 400
amfam,True,1,https://rdap.nic.amfam/,"icann_rdap_response_profile_0,icann_rdap_technical_implementation_guide_0,rdap_level_0",https://rdap.nic.amfam/ OK 400
amica,True,1,https://rdap.nic.amica/,"icann_rdap_response_profile_0,icann_rdap_technical_implementation_guide_0,rdap_level_0",https://rdap.nic.amica/ OK 400
amsterdam,True,1,https://rdap.nic.amsterdam/,"icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_1",https://rdap.nic.amsterdam/help OK 200
analytics,True,1,https://rdap.nic.analytics/,"icann_rdap_response_profile_0,icann_rdap_technical_implementation_guide_0,rdap_level_0",https://rdap.nic.analytics/ OK 400
android,True,1,https://pubapi.registry.google/rdap/,"icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://pubapi.registry.google/rdap/ OK 200
anquan,True,1,https://rdap.teleinfo.cn/,"icann_rdap_response_profile_0,icann_rdap_technical_implementation_guide_0,rdap_level_0",https://rdap.teleinfo.cn/help OK 200
anz,True,1,https://rdap.nic.anz/,"icann_rdap_response_profile_0,icann_rdap_technical_implementation_guide_0,rdap_level_0",https://rdap.nic.anz/ OK 400
ao,False,0,,,No RDAP base in bootstrap
aol,True,1,https://rdap.identitydigital.services/rdap/,"icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://rdap.identitydigital.services/rdap/help OK 200
apartments,True,1,https://rdap.identitydigital.services/rdap/,"icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://rdap.identitydigital.services/rdap/help OK 200
app,True,1,https://pubapi.registry.google/rdap/,"icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://pubapi.registry.google/rdap/ OK 200
apple,True,1,https://rdap.identitydigital.services/rdap/,"icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://rdap.identitydigital.services/rdap/help OK 200
aq,False,0,,,No RDAP base in bootstrap
aquarelle,True,1,https://rdap.nic.aquarelle/,"icann_rdap_response_profile_0,icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_0,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://rdap.nic.aquarelle/ OK 200
ar,True,1,https://rdap.nic.ar/,rdap_level_0,https://rdap.nic.ar/help OK 200
arab,True,1,https://rdap.nic.arab/,"icann_rdap_response_profile_0,icann_rdap_technical_implementation_guide_0,rdap_level_0",https://rdap.nic.arab/ OK 400
aramco,True,1,https://rdap.nic.aramco/,"icann_rdap_response_profile_0,icann_rdap_technical_implementation_guide_0,rdap_level_0",https://rdap.nic.aramco/ OK 400
archi,True,1,https://rdap.identitydigital.services/rdap/,"icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://rdap.identitydigital.services/rdap/help OK 200
army,True,1,https://rdap.identitydigital.services/rdap/,"icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://rdap.identitydigital.services/rdap/help OK 200
arpa,False,0,,,No RDAP base in bootstrap
art,True,1,https://rdap.centralnic.com/art/,"icann_rdap_response_profile_0,icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_0,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://rdap.centralnic.com/art/ OK 200
arte,True,1,https://rdap.identitydigital.services/rdap/,"icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://rdap.identitydigital.services/rdap/help OK 200
as,False,0,,,No RDAP base in bootstrap
asda,True,1,https://rdap.identitydigital.services/rdap/,"icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://rdap.identitydigital.services/rdap/help OK 200
asia,True,1,https://rdap.identitydigital.services/rdap/,"icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://rdap.identitydigital.services/rdap/help OK 200
associates,True,1,https://rdap.identitydigital.services/rdap/,"icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://rdap.identitydigital.services/rdap/help OK 200
at,False,0,,,No RDAP base in bootstrap
athleta,True,1,https://rdap.nic.athleta/,"icann_rdap_response_profile_0,icann_rdap_technical_implementation_guide_0,rdap_level_0",https://rdap.nic.athleta/ OK 400
attorney,True,1,https://rdap.identitydigital.services/rdap/,"icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://rdap.identitydigital.services/rdap/help OK 200
au,False,0,,,No RDAP base in bootstrap
auction,True,1,https://rdap.identitydigital.services/rdap/,"icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://rdap.identitydigital.services/rdap/help OK 200
audi,True,1,https://rdap.identitydigital.services/rdap/,"icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://rdap.identitydigital.services/rdap/help OK 200
audible,True,1,https://rdap.nominet.uk/audible/,,https://rdap.nominet.uk/audible/ JSON 404 (no rdapConformance)
audio,True,1,https://rdap.centralnic.com/audio/,"icann_rdap_response_profile_0,icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_0,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://rdap.centralnic.com/audio/ OK 200
auspost,True,1,https://rdap.nic.auspost/,"icann_rdap_response_profile_0,icann_rdap_technical_implementation_guide_0,rdap_level_0",https://rdap.nic.auspost/ OK 400
author,True,1,https://rdap.nominet.uk/author/,,https://rdap.nominet.uk/author/ JSON 404 (no rdapConformance)
auto,True,1,https://rdap.centralnic.com/auto/,"icann_rdap_response_profile_0,icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_0,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://rdap.centralnic.com/auto/ OK 200
autos,True,1,https://rdap.centralnic.com/autos/,"icann_rdap_response_profile_0,icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_0,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://rdap.centralnic.com/autos/ OK 200
aw,False,0,,,No RDAP base in bootstrap
aws,True,1,https://rdap.nominet.uk/aws/,,https://rdap.nominet.uk/aws/ JSON 404 (no rdapConformance)
ax,False,0,,,No RDAP base in bootstrap
axa,True,1,https://rdap.nic.axa/,"icann_rdap_response_profile_0,icann_rdap_technical_implementation_guide_0,rdap_level_0",https://rdap.nic.axa/ OK 400
az,False,0,,,No RDAP base in bootstrap
azure,True,1,https://rdap.nominet.uk/azure/,,https://rdap.nominet.uk/azure/ JSON 404 (no rdapConformance)
ba,False,0,,,No RDAP base in bootstrap
baby,True,1,https://rdap.centralnic.com/baby/,"icann_rdap_response_profile_0,icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_0,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://rdap.centralnic.com/baby/ OK 200
baidu,True,1,https://rdap.zdnsgtld.com/baidu/,"icann_rdap_response_profile_0,icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_0,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://rdap.zdnsgtld.com/baidu/ OK 400
banamex,True,1,https://rdap.nic.banamex/,"icann_rdap_response_profile_0,icann_rdap_technical_implementation_guide_0,rdap_level_0",https://rdap.nic.banamex/ OK 400
band,True,1,https://rdap.identitydigital.services/rdap/,"icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://rdap.identitydigital.services/rdap/help OK 200
bank,True,1,https://rdap.nic.bank/,"icann_rdap_response_profile_0,icann_rdap_technical_implementation_guide_0,rdap_level_0",https://rdap.nic.bank/ OK 400
bar,True,1,https://rdap.registry.bar/rdap/,"icann_rdap_response_profile_0,icann_rdap_technical_implementation_guide_0,ur_domain_check_0",https://rdap.registry.bar/rdap/ OK 404
barcelona,True,0,https://rdap.nic.barcelona/,,https://rdap.nic.barcelona/ no RDAP JSON detected
barclaycard,True,1,https://rdap.identitydigital.services/rdap/,"icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://rdap.identitydigital.services/rdap/help OK 200
barclays,True,1,https://rdap.identitydigital.services/rdap/,"icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://rdap.identitydigital.services/rdap/help OK 200
barefoot,True,1,https://rdap.identitydigital.services/rdap/,"icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://rdap.identitydigital.services/rdap/help OK 200
bargains,True,1,https://rdap.identitydigital.services/rdap/,"icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://rdap.identitydigital.services/rdap/help OK 200
baseball,True,1,https://rdap.nic.baseball/,"icann_rdap_response_profile_0,icann_rdap_technical_implementation_guide_0,rdap_level_0",https://rdap.nic.baseball/ OK 400
basketball,True,1,https://rdap.nic.basketball/,"icann_rdap_response_profile_0,icann_rdap_technical_implementation_guide_0,rdap_level_0",https://rdap.nic.basketball/ OK 400
bauhaus,True,0,https://rdap.nic.bauhaus/,,https://rdap.nic.bauhaus/ no RDAP JSON detected
bayern,True,1,https://rdap.nic.bayern/,"icann_rdap_response_profile_0,icann_rdap_technical_implementation_guide_0,rdap_level_0",https://rdap.nic.bayern/help OK 200
bb,False,0,,,No RDAP base in bootstrap
bbc,True,1,https://rdap.nominet.uk/bbc/,,https://rdap.nominet.uk/bbc/ JSON 404 (no rdapConformance)
bbt,True,1,https://rdap.identitydigital.services/rdap/,"icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://rdap.identitydigital.services/rdap/help OK 200
bbva,True,1,https://rdap.nominet.uk/bbva/,,https://rdap.nominet.uk/bbva/ JSON 404 (no rdapConformance)
bcg,True,1,https://rdap.identitydigital.services/rdap/,"icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://rdap.identitydigital.services/rdap/help OK 200
bcn,True,1,https://rdap.nic.bcn/,"icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://rdap.nic.bcn/help OK 200
bd,False,0,,,No RDAP base in bootstrap
be,False,0,,,No RDAP base in bootstrap
beats,True,1,https://rdap.identitydigital.services/rdap/,"icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://rdap.identitydigital.services/rdap/help OK 200
beauty,True,1,https://rdap.centralnic.com/beauty/,"icann_rdap_response_profile_0,icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_0,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://rdap.centralnic.com/beauty/ OK 200
beer,True,1,https://rdap.nic.beer/,"icann_rdap_response_profile_0,icann_rdap_technical_implementation_guide_0,rdap_level_0",https://rdap.nic.beer/ OK 400
berlin,True,1,https://rdap.nic.berlin/v1/,"icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_1,rdap_level_0,redacted",https://rdap.nic.berlin/v1/help OK 200
best,True,1,https://rdap.centralnic.com/best/,"icann_rdap_response_profile_0,icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_0,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://rdap.centralnic.com/best/ OK 200
bestbuy,True,1,https://rdap.identitydigital.services/rdap/,"icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://rdap.identitydigital.services/rdap/help OK 200
bet,True,1,https://rdap.identitydigital.services/rdap/,"icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://rdap.identitydigital.services/rdap/help OK 200
bf,False,0,,,No RDAP base in bootstrap
bg,False,0,,,No RDAP base in bootstrap
bh,False,0,,,No RDAP base in bootstrap
bharti,True,1,https://tld-rdap.verisign.com/bharti/v1/,"icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://tld-rdap.verisign.com/bharti/v1/help OK 200
bi,False,0,,,No RDAP base in bootstrap
bible,True,1,https://rdap.nic.bible/,"icann_rdap_response_profile_0,icann_rdap_technical_implementation_guide_0,rdap_level_0",https://rdap.nic.bible/ OK 400
bid,True,1,https://rdap.nic.bid/,"icann_rdap_response_profile_0,icann_rdap_technical_implementation_guide_0,rdap_level_0",https://rdap.nic.bid/ OK 400
bike,True,1,https://rdap.identitydigital.services/rdap/,"icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://rdap.identitydigital.services/rdap/help OK 200
bing,True,1,https://rdap.nominet.uk/bing/,,https://rdap.nominet.uk/bing/ JSON 404 (no rdapConformance)
bingo,True,1,https://rdap.identitydigital.services/rdap/,"icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://rdap.identitydigital.services/rdap/help OK 200
bio,True,1,https://rdap.identitydigital.services/rdap/,"icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://rdap.identitydigital.services/rdap/help OK 200
biz,True,1,https://rdap.nic.biz/,"icann_rdap_response_profile_0,icann_rdap_technical_implementation_guide_0,rdap_level_0",https://rdap.nic.biz/ OK 400
bj,False,0,,,No RDAP base in bootstrap
black,True,1,https://rdap.identitydigital.services/rdap/,"icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://rdap.identitydigital.services/rdap/help OK 200
blackfriday,True,1,https://rdap.nic.blackfriday/,"icann_rdap_response_profile_0,icann_rdap_technical_implementation_guide_0,rdap_level_0",https://rdap.nic.blackfriday/ OK 400
blockbuster,True,1,https://rdap.mobile-registry.com/rdap/,"icann_rdap_response_profile_0,icann_rdap_technical_implementation_guide_0,ur_domain_check_0",https://rdap.mobile-registry.com/rdap/ OK 404
blog,True,1,https://rdap.blog.fury.ca/rdap/,,https://rdap.blog.fury.ca/rdap/ JSON 404 (no rdapConformance)
bloomberg,True,1,https://rdap.identitydigital.services/rdap/,"icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://rdap.identitydigital.services/rdap/help OK 200
blue,True,1,https://rdap.identitydigital.services/rdap/,"icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://rdap.identitydigital.services/rdap/help OK 200
bm,True,1,https://rdap.identitydigital.services/rdap/,"icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://rdap.identitydigital.services/rdap/help OK 200
bms,True,1,https://rdap.identitydigital.services/rdap/,"icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://rdap.identitydigital.services/rdap/help OK 200
bmw,True,1,https://rdap.centralnic.com/bmw/,"icann_rdap_response_profile_0,icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_0,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://rdap.centralnic.com/bmw/ OK 200
bn,False,0,,,No RDAP base in bootstrap
bnpparibas,True,1,https://rdap.identitydigital.services/rdap/,"icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://rdap.identitydigital.services/rdap/help OK 200
bo,False,0,,,No RDAP base in bootstrap
boats,True,1,https://rdap.centralnic.com/boats/,"icann_rdap_response_profile_0,icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_0,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://rdap.centralnic.com/boats/ OK 200
boehringer,True,1,https://rdap.identitydigital.services/rdap/,"icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://rdap.identitydigital.services/rdap/help OK 200
bofa,True,1,https://rdap.identitydigital.services/rdap/,"icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://rdap.identitydigital.services/rdap/help OK 200
bom,True,1,https://rdap.gtlds.nic.br/,"icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_1,nicbr_level_0,rdap_level_0",https://rdap.gtlds.nic.br/help OK 200
bond,True,1,https://rdap.centralnic.com/bond/,"icann_rdap_response_profile_0,icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_0,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://rdap.centralnic.com/bond/ OK 200
boo,True,1,https://pubapi.registry.google/rdap/,"icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://pubapi.registry.google/rdap/ OK 200
book,True,1,https://rdap.nominet.uk/book/,,https://rdap.nominet.uk/book/ JSON 404 (no rdapConformance)
booking,True,1,https://rdap.nic.booking/,"icann_rdap_response_profile_0,icann_rdap_technical_implementation_guide_0,rdap_level_0",https://rdap.nic.booking/ OK 400
bosch,True,1,https://rdap.identitydigital.services/rdap/,"icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://rdap.identitydigital.services/rdap/help OK 200
bostik,True,1,https://rdap.nic.bostik/,"icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://rdap.nic.bostik/ OK 200
boston,True,1,https://rdap.nic.boston/,"icann_rdap_response_profile_0,icann_rdap_technical_implementation_guide_0,rdap_level_0",https://rdap.nic.boston/ OK 400
bot,True,1,https://rdap.nominet.uk/bot/,,https://rdap.nominet.uk/bot/ JSON 404 (no rdapConformance)
boutique,True,1,https://rdap.identitydigital.services/rdap/,"icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://rdap.identitydigital.services/rdap/help OK 200
box,True,1,https://rdap.centralnic.com/box/,"icann_rdap_response_profile_0,icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_0,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://rdap.centralnic.com/box/ OK 200
br,True,1,https://rdap.registro.br/,"cidr0,nicbr_level_0,rdap_level_0",https://rdap.registro.br/help OK 200
bradesco,True,1,https://rdap.identitydigital.services/rdap/,"icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://rdap.identitydigital.services/rdap/help OK 200
bridgestone,True,1,https://rdap.gmoregistry.net/rdap/,"icann_rdap_response_profile_0,icann_rdap_technical_implementation_guide_0,rdap_level_0",https://rdap.gmoregistry.net/rdap/ OK 400
broadway,True,1,https://rdap.nominet.uk/broadway/,,https://rdap.nominet.uk/broadway/ JSON 404 (no rdapConformance)
broker,True,1,https://rdap.identitydigital.services/rdap/,"icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://rdap.identitydigital.services/rdap/help OK 200
brother,True,1,https://rdap.gmoregistry.net/rdap/,"icann_rdap_response_profile_0,icann_rdap_technical_implementation_guide_0,rdap_level_0",https://rdap.gmoregistry.net/rdap/ OK 400
brussels,True,1,https://rdap.nic.brussels/,"icann_rdap_response_profile_0,icann_rdap_technical_implementation_guide_0,rdap_level_0",https://rdap.nic.brussels/help OK 200
bs,False,0,,,No RDAP base in bootstrap
bt,False,0,,,No RDAP base in bootstrap
build,True,1,https://rdap.centralnic.com/build/,"icann_rdap_response_profile_0,icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_0,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://rdap.centralnic.com/build/ OK 200
builders,True,1,https://rdap.identitydigital.services/rdap/,"icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://rdap.identitydigital.services/rdap/help OK 200
business,True,1,https://rdap.identitydigital.services/rdap/,"icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://rdap.identitydigital.services/rdap/help OK 200
buy,True,1,https://rdap.nominet.uk/buy/,,https://rdap.nominet.uk/buy/ JSON 404 (no rdapConformance)
buzz,True,1,https://rdap.nic.buzz/,"icann_rdap_response_profile_0,icann_rdap_technical_implementation_guide_0,rdap_level_0",https://rdap.nic.buzz/ OK 400
bv,False,0,,,No RDAP base in bootstrap
bw,False,0,,,No RDAP base in bootstrap
by,False,0,,,No RDAP base in bootstrap
bz,False,0,,,No RDAP base in bootstrap
bzh,True,1,https://rdap.nic.bzh/,"icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://rdap.nic.bzh/ OK 200
ca,True,1,https://rdap.ca.fury.ca/rdap/,,https://rdap.ca.fury.ca/rdap/ JSON 404 (no rdapConformance)
cab,True,1,https://rdap.identitydigital.services/rdap/,"icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://rdap.identitydigital.services/rdap/help OK 200
