tld,has_rdap,ok_bases,bases,conformance,notes
xin,True,1,https://rdap.identitydigital.services/rdap/,"icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://rdap.identitydigital.services/rdap/help OK 200
xn--11b4c3d,True,1,https://tld-rdap.verisign.com/xn--11b4c3d/v1/,"icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://tld-rdap.verisign.com/xn--11b4c3d/v1/help OK 200
xn--1ck2e1b,True,1,https://rdap.identitydigital.services/rdap/,"icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://rdap.identitydigital.services/rdap/help OK 200
xn--1qqw23a,True,1,https://restwhois.ngtld.cn/,"icann_rdap_response_profile_0,icann_rdap_technical_implementation_guide_0,rdap_level_0",https://restwhois.ngtld.cn/ OK 400
xn--2scrj9c,False,0,,,No RDAP base in bootstrap
xn--30rr7y,True,1,https://rdap.zdnsgtld.com/xn--30rr7y/,"icann_rdap_response_profile_0,icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_0,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://rdap.zdnsgtld.com/xn--30rr7y/ OK 400
xn--3bst00m,True,1,https://rdap.zdnsgtld.com/xn--3bst00m/,"icann_rdap_response_profile_0,icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_0,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://rdap.zdnsgtld.com/xn--3bst00m/ OK 400
xn--3ds443g,True,1,https://rdap.teleinfo.cn/xn--3ds443g/,"icann_rdap_response_profile_0,icann_rdap_technical_implementation_guide_0,rdap_level_0",https://rdap.teleinfo.cn/xn--3ds443g/help OK 200
xn--3e0b707e,False,0,,,No RDAP base in bootstrap
xn--3hcrj9c,False,0,,,No RDAP base in bootstrap
xn--3pxu8k,True,1,https://tld-rdap.verisign.com/xn--3pxu8k/v1/,"icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://tld-rdap.verisign.com/xn--3pxu8k/v1/help OK 200
xn--42c2d9a,True,1,https://tld-rdap.verisign.com/xn--42c2d9a/v1/,"icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://tld-rdap.verisign.com/xn--42c2d9a/v1/help OK 200
xn--45br5cyl,False,0,,,No RDAP base in bootstrap
xn--45brj9c,False,0,,,No RDAP base in bootstrap
xn--45q11c,True,1,https://rdap.zdnsgtld.com/XN--45Q11C/,"icann_rdap_response_profile_0,icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_0,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://rdap.zdnsgtld.com/XN--45Q11C/ OK 400
xn--4dbrk0ce,False,0,,,No RDAP base in bootstrap
xn--4gbrim,True,1,https://rdap.centralnic.com/xn--4gbrim/,"icann_rdap_response_profile_0,icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_0,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://rdap.centralnic.com/xn--4gbrim/ OK 200
xn--54b7fta0cc,False,0,,,No RDAP base in bootstrap
xn--55qw42g,True,1,https://rdap.conac.cn/,"icann_rdap_response_profile_0,icann_rdap_technical_implementation_guide_0,rdap_level_0",https://rdap.conac.cn/help OK 200
xn--55qx5d,True,1,https://restwhois.ngtld.cn/,"icann_rdap_response_profile_0,icann_rdap_technical_implementation_guide_0,rdap_level_0",https://restwhois.ngtld.cn/ OK 400
xn--5su34j936bgsg,True,1,https://tld-rdap.verisign.com/xn--5su34j936bgsg/v1/,"icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://tld-rdap.verisign.com/xn--5su34j936bgsg/v1/help OK 200
xn--5tzm5g,True,1,https://rdap.identitydigital.services/rdap/,"icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://rdap.identitydigital.services/rdap/help OK 200
xn--6frz82g,True,1,https://rdap.identitydigital.services/rdap/,"icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://rdap.identitydigital.services/rdap/help OK 200
xn--6qq986b3xl,True,1,https://rdap.zdnsgtld.com/xn--6qq986b3xl/,"icann_rdap_response_profile_0,icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_0,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://rdap.zdnsgtld.com/xn--6qq986b3xl/ OK 400
xn--80adxhks,True,1,https://rdap.flexireg.net/,"icann_rdap_response_profile_0,icann_rdap_technical_implementation_guide_0,rdap_level_0",https://rdap.flexireg.net/ OK 200
xn--80ao21a,False,0,,,No RDAP base in bootstrap
xn--80aqecdr1a,True,0,https://rdap.nic.xn--80aqecdr1a/,,https://rdap.nic.xn--80aqecdr1a/ no RDAP JSON detected
xn--80asehdb,True,1,https://rdap.nic.xn--80asehdb/,"icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://rdap.nic.xn--80asehdb/help OK 200
xn--80aswg,True,1,https://rdap.nic.xn--80aswg/,"icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://rdap.nic.xn--80aswg/help OK 200
xn--8y0a063a,True,1,https://rdap.zdnsgtld.com/xn--8y0a063a/,"icann_rdap_response_profile_0,icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_0,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://rdap.zdnsgtld.com/xn--8y0a063a/ OK 400
xn--90a3ac,False,0,,,No RDAP base in bootstrap
xn--90ae,False,0,,,No RDAP base in bootstrap
xn--90ais,False,0,,,No RDAP base in bootstrap
xn--9dbq2a,True,1,https://tld-rdap.verisign.com/xn--9dbq2a/v1/,"icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://tld-rdap.verisign.com/xn--9dbq2a/v1/help OK 200
xn--9et52u,True,1,https://rdap.zdnsgtld.com/xn--9et52u/,"icann_rdap_response_profile_0,icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_0,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://rdap.zdnsgtld.com/xn--9et52u/ OK 400
xn--9krt00a,True,1,https://rdap.identitydigital.services/rdap/,"icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://rdap.identitydigital.services/rdap/help OK 200
xn--b4w605ferd,True,1,https://rdap.identitydigital.services/rdap/,"icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://rdap.identitydigital.services/rdap/help OK 200
xn--bck1b9a5dre4c,True,1,https://rdap.identitydigital.services/rdap/,"icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://rdap.identitydigital.services/rdap/help OK 200
xn--c1avg,True,1,https://rdap.publicinterestregistry.org/rdap/,"icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://rdap.publicinterestregistry.org/rdap/help OK 200
xn--c2br7g,True,1,https://tld-rdap.verisign.com/xn--c2br7g/v1/,"icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://tld-rdap.verisign.com/xn--c2br7g/v1/help OK 200
xn--cck2b3b,True,1,https://rdap.identitydigital.services/rdap/,"icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://rdap.identitydigital.services/rdap/help OK 200
xn--cckwcxetd,True,1,https://rdap.nominet.uk/xn--cckwcxetd/,,https://rdap.nominet.uk/xn--cckwcxetd/ JSON 404 (no rdapConformance)
xn--cg4bki,True,1,https://nic.samsung/rdap/,"icann_rdap_response_profile_0,icann_rdap_technical_implementation_guide_0,rdap_level_0",https://nic.samsung/rdap/help OK 200
xn--clchc0ea0b2g2a9gcd,False,0,,,No RDAP base in bootstrap
xn--czr694b,True,1,https://rdap.zdnsgtld.com/xn--czr694b/,"icann_rdap_response_profile_0,icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_0,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://rdap.zdnsgtld.com/xn--czr694b/ OK 400
xn--czrs0t,True,1,https://rdap.identitydigital.services/rdap/,"icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://rdap.identitydigital.services/rdap/help OK 200
xn--czru2d,True,1,https://rdap.zdnsgtld.com/xn--czru2d/,"icann_rdap_response_profile_0,icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_0,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://rdap.zdnsgtld.com/xn--czru2d/ OK 400
xn--d1acj3b,True,1,https://whois.nic.xn--d1acj3b/rdap/,"icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://whois.nic.xn--d1acj3b/rdap/ OK 404
xn--d1alf,False,0,,,No RDAP base in bootstrap
xn--e1a4c,False,0,,,No RDAP base in bootstrap
xn--eckvdtc9d,True,1,https://rdap.identitydigital.services/rdap/,"icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://rdap.identitydigital.services/rdap/help OK 200
xn--efvy88h,True,1,https://rdap.zdnsgtld.com/XN--EFVY88H/,"icann_rdap_response_profile_0,icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_0,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://rdap.zdnsgtld.com/XN--EFVY88H/ OK 400
xn--fct429k,True,1,https://rdap.identitydigital.services/rdap/,"icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://rdap.identitydigital.services/rdap/help OK 200
xn--fhbei,True,1,https://tld-rdap.verisign.com/xn--fhbei/v1/,"icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://tld-rdap.verisign.com/xn--fhbei/v1/help OK 200
xn--fiq228c5hs,True,1,https://rdap.teleinfo.cn/xn--fiq228c5hs/,"icann_rdap_response_profile_0,icann_rdap_technical_implementation_guide_0,rdap_level_0",https://rdap.teleinfo.cn/xn--fiq228c5hs/help OK 200
xn--fiq64b,True,1,https://rdap.zdnsgtld.com/xn--fiq64b/,"icann_rdap_response_profile_0,icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_0,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://rdap.zdnsgtld.com/xn--fiq64b/ OK 400
xn--fiqs8s,False,0,,,No RDAP base in bootstrap
xn--fiqz9s,False,0,,,No RDAP base in bootstrap
xn--fjq720a,True,1,https://rdap.identitydigital.services/rdap/,"icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://rdap.identitydigital.services/rdap/help OK 200
xn--flw351e,True,1,https://pubapi.registry.google/rdap/,"icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://pubapi.registry.google/rdap/ OK 200
xn--fpcrj9c3d,False,0,,,No RDAP base in bootstrap
xn--fzc2c9e2c,False,0,,,No RDAP base in bootstrap
xn--fzys8d69uvgm,True,1,https://rdap.identitydigital.services/rdap/,"icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://rdap.identitydigital.services/rdap/help OK 200
xn--g2xx48c,True,0,https://rdap.nic.xn--g2xx48c/,,https://rdap.nic.xn--g2xx48c/ no RDAP JSON detected
xn--gckr3f0f,True,1,https://rdap.identitydigital.services/rdap/,"icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://rdap.identitydigital.services/rdap/help OK 200
xn--gecrj9c,False,0,,,No RDAP base in bootstrap
xn--gk3at1e,True,1,https://rdap.identitydigital.services/rdap/,"icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://rdap.identitydigital.services/rdap/help OK 200
xn--h2breg3eve,False,0,,,No RDAP base in bootstrap
xn--h2brj9c,False,0,,,No RDAP base in bootstrap
xn--h2brj9c8c,False,0,,,No RDAP base in bootstrap
xn--hxt814e,True,1,https://rdap.zdnsgtld.com/xn--hxt814e/,"icann_rdap_response_profile_0,icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_0,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://rdap.zdnsgtld.com/xn--hxt814e/ OK 400
xn--i1b6b1a6a2e,True,1,https://rdap.publicinterestregistry.org/rdap/,"icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://rdap.publicinterestregistry.org/rdap/help OK 200
xn--imr513n,True,1,https://rdap.zdnsgtld.com/xn--imr513n/,"icann_rdap_response_profile_0,icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_0,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://rdap.zdnsgtld.com/xn--imr513n/ OK 400
xn--io0a7i,True,1,https://restwhois.ngtld.cn/,"icann_rdap_response_profile_0,icann_rdap_technical_implementation_guide_0,rdap_level_0",https://restwhois.ngtld.cn/ OK 400
xn--j1aef,True,1,https://tld-rdap.verisign.com/xn--j1aef/v1/,"icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://tld-rdap.verisign.com/xn--j1aef/v1/help OK 200
xn--j1amh,False,0,,,No RDAP base in bootstrap
xn--j6w193g,False,0,,,No RDAP base in bootstrap
xn--jlq480n2rg,True,1,https://rdap.nominet.uk/xn--jlq480n2rg/,,https://rdap.nominet.uk/xn--jlq480n2rg/ JSON 404 (no rdapConformance)
xn--jvr189m,True,1,https://rdap.identitydigital.services/rdap/,"icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://rdap.identitydigital.services/rdap/help OK 200
xn--kcrx77d1x4a,True,0,https://rdap.nic.xn--kcrx77d1x4a/,,https://rdap.nic.xn--kcrx77d1x4a/ no RDAP JSON detected
xn--kprw13d,False,0,,,No RDAP base in bootstrap
xn--kpry57d,True,1,https://ccrdap.twnic.tw/taiwan/,"icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://ccrdap.twnic.tw/taiwan/help OK 200
xn--kput3i,True,1,https://rdap.teleinfo.cn/xn--kput3i/,"icann_rdap_response_profile_0,icann_rdap_technical_implementation_guide_0,rdap_level_0",https://rdap.teleinfo.cn/xn--kput3i/help OK 200
xn--l1acc,False,0,,,No RDAP base in bootstrap
xn--lgbbat1ad8j,False,0,,,No RDAP base in bootstrap
xn--mgb9awbf,False,0,,,No RDAP base in bootstrap
xn--mgba3a3ejt,True,0,https://rdap.nic.xn--mgba3a3ejt/,,https://rdap.nic.xn--mgba3a3ejt/ no RDAP JSON detected
xn--mgba3a4f16a,False,0,,,No RDAP base in bootstrap
xn--mgba7c0bbn0a,True,0,https://rdap.nic.xn--mgba7c0bbn0a/,,https://rdap.nic.xn--mgba7c0bbn0a/ no RDAP JSON detected
xn--mgbaam7a8h,False,0,,,No RDAP base in bootstrap
xn--mgbab2bd,True,1,https://rdap.nic.xn--mgbab2bd/,"icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://rdap.nic.xn--mgbab2bd/help OK 200
xn--mgbah1a3hjkrd,False,0,,,No RDAP base in bootstrap
xn--mgbai9azgqp6j,False,0,,,No RDAP base in bootstrap
xn--mgbayh7gpa,False,0,,,No RDAP base in bootstrap
xn--mgbbh1a,False,0,,,No RDAP base in bootstrap
xn--mgbbh1a71e,False,0,,,No RDAP base in bootstrap
xn--mgbc0a9azcg,False,0,,,No RDAP base in bootstrap
xn--mgbca7dzdo,True,1,https://rdap.nic.xn--mgbca7dzdo/,"icann_rdap_response_profile_0,icann_rdap_technical_implementation_guide_0,rdap_level_0",https://rdap.nic.xn--mgbca7dzdo/ OK 400
xn--mgbcpq6gpa1a,False,0,,,No RDAP base in bootstrap
xn--mgberp4a5d4ar,False,0,,,No RDAP base in bootstrap
xn--mgbgu82a,False,0,,,No RDAP base in bootstrap
xn--mgbi4ecexp,True,0,https://rdap.nic.xn--mgbi4ecexp/,,https://rdap.nic.xn--mgbi4ecexp/ no RDAP JSON detected
xn--mgbpl2fh,False,0,,,No RDAP base in bootstrap
xn--mgbt3dhd,True,1,https://rdap.nominet.uk/xn--mgbt3dhd/,,https://rdap.nominet.uk/xn--mgbt3dhd/ JSON 404 (no rdapConformance)
xn--mgbtx2b,False,0,,,No RDAP base in bootstrap
xn--mgbx4cd0ab,False,0,,,No RDAP base in bootstrap
xn--mix891f,False,0,,,No RDAP base in bootstrap
xn--mk1bu44c,True,1,https://tld-rdap.verisign.com/xn--mk1bu44c/v1/,"icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://tld-rdap.verisign.com/xn--mk1bu44c/v1/help OK 200
xn--mxtq1m,True,1,https://rdap.twnic.tw/rdap/,"icann_rdap_response_profile_0,icann_rdap_technical_implementation_guide_0,rdap_level_0",https://rdap.twnic.tw/rdap/help OK 200
xn--ngbc5azd,True,0,https://rdap.nic.xn--ngbc5azd/,,https://rdap.nic.xn--ngbc5azd/ no RDAP JSON detected
xn--ngbe9e0a,True,1,https://rdap.centralnic.com/xn--ngbe9e0a/,"icann_rdap_response_profile_0,icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_0,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://rdap.centralnic.com/xn--ngbe9e0a/ OK 200
xn--ngbrx,True,1,https://rdap.nic.xn--ngbrx/,"icann_rdap_response_profile_0,icann_rdap_technical_implementation_guide_0,rdap_level_0",https://rdap.nic.xn--ngbrx/ OK 400
xn--node,False,0,,,No RDAP base in bootstrap
xn--nqv7f,True,1,https://rdap.publicinterestregistry.org/rdap/,"icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://rdap.publicinterestregistry.org/rdap/help OK 200
xn--nqv7fs00ema,True,1,https://rdap.publicinterestregistry.org/rdap/,"icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://rdap.publicinterestregistry.org/rdap/help OK 200
xn--nyqy26a,True,1,https://rdap.teleinfo.cn/xn--nyqy26a/,"icann_rdap_response_profile_0,icann_rdap_technical_implementation_guide_0,rdap_level_0",https://rdap.teleinfo.cn/xn--nyqy26a/help OK 200
xn--o3cw4h,True,1,https://rdap.thains.co.th/,"icann_rdap_response_profile_0,icann_rdap_technical_implementation_guide_0,rdap_level_0",https://rdap.thains.co.th/ OK 400
xn--ogbpf8fl,False,0,,,No RDAP base in bootstrap
xn--otu796d,True,1,https://rdap.zdnsgtld.com/xn--otu796d/,"icann_rdap_response_profile_0,icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_0,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://rdap.zdnsgtld.com/xn--otu796d/ OK 400
xn--p1acf,True,1,https://api.rdap.nic.xn--p1acf/,,https://api.rdap.nic.xn--p1acf/help JSON 404 (no rdapConformance)
xn--p1ai,False,0,,,No RDAP base in bootstrap
xn--pgbs0dh,False,0,,,No RDAP base in bootstrap
xn--pssy2u,True,1,https://tld-rdap.verisign.com/xn--pssy2u/v1/,"icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://tld-rdap.verisign.com/xn--pssy2u/v1/help OK 200
xn--q7ce6a,False,0,,,No RDAP base in bootstrap
xn--q9jyb4c,True,1,https://pubapi.registry.google/rdap/,"icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://pubapi.registry.google/rdap/ OK 200
xn--qcka1pmc,True,1,https://pubapi.registry.google/rdap/,"icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://pubapi.registry.google/rdap/ OK 200
xn--qxa6a,False,0,,,No RDAP base in bootstrap
xn--qxam,False,0,,,No RDAP base in bootstrap
xn--rhqv96g,True,1,https://rdap.teleinfo.cn/xn--rhqv96g/,"icann_rdap_response_profile_0,icann_rdap_technical_implementation_guide_0,rdap_level_0",https://rdap.teleinfo.cn/xn--rhqv96g/help OK 200
xn--rovu88b,True,1,https://rdap.identitydigital.services/rdap/,"icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://rdap.identitydigital.services/rdap/help OK 200
xn--rvc1e0am3e,False,0,,,No RDAP base in bootstrap
xn--s9brj9c,False,0,,,No RDAP base in bootstrap
xn--ses554g,True,1,https://rdap.zdnsgtld.com/xn--ses554g/,"icann_rdap_response_profile_0,icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_0,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://rdap.zdnsgtld.com/xn--ses554g/ OK 400
xn--t60b56a,True,1,https://tld-rdap.verisign.com/xn--t60b56a/v1/,"icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://tld-rdap.verisign.com/xn--t60b56a/v1/help OK 200
